"maxArea","Coefficients","Estimate","Standard.Error","t.value","p.value","R.Squared","Variate"
"400","(Intercept)",10.793,0.013,814.755,"$<$ 0.001",0.947,"Niche_Area_Migration"
"400","z.K_num",2.613,0.018,148.326,"$<$ 0.001",0.947,"Niche_Area_Migration"
"400","z.area",2.736,0.018,155.289,"$<$ 0.001",0.947,"Niche_Area_Migration"
"400","z.migration",1.091,0.013,82.343,"$<$ 0.001",0.947,"Niche_Area_Migration"
"400","(Intercept)",10.793,0.018,599.386,"$<$ 0.001",0.902,"Niche_Area"
"400","z.K_num",2.613,0.024,109.118,"$<$ 0.001",0.902,"Niche_Area"
"400","z.area",2.736,0.024,114.241,"$<$ 0.001",0.902,"Niche_Area"
"20","(Intercept)",4.419,0.013,342.973,"$<$ 0.001",0.977,"Niche_Area_Migration"
"20","z.K_num",2.876,0.014,208.599,"$<$ 0.001",0.977,"Niche_Area_Migration"
"20","z.area",0.343,0.014,24.881,"$<$ 0.001",0.977,"Niche_Area_Migration"
"20","z.migration",0.13,0.013,10.06,"$<$ 0.001",0.977,"Niche_Area_Migration"
"20","(Intercept)",4.419,0.013,330.626,"$<$ 0.001",0.975,"Niche_Area"
"20","z.K_num",2.876,0.014,201.089,"$<$ 0.001",0.975,"Niche_Area"
"20","z.area",0.343,0.014,23.986,"$<$ 0.001",0.975,"Niche_Area"
